customer_id,recency,frequency,monetary,segment
10000,494,1,133.15,At Risk
10001,51,5,4950.25,Loyal
10002,372,2,552.04,At Risk
10003,126,2,1137.82,Potential
10004,778,1,2278.29,Potential
10005,65,3,3283.2,Loyal
10006,761,2,368.99,At Risk
10007,248,1,477.81,At Risk
10008,845,1,158.44,At Risk
10010,581,2,2714.29,Potential
10011,188,2,1288.24,Potential
10012,597,1,2367.2,Potential
10013,323,3,2803.81,Potential
10014,75,2,868.4699999999999,At Risk
10015,67,2,845.7,At Risk
10016,364,1,1334.92,Potential
10017,209,2,1959.3600000000001,Potential
10018,71,2,2421.06,Potential
10019,563,2,796.52,At Risk
10020,187,1,2367.8,Potential
10021,25,2,4886.33,Loyal
10022,42,3,1667.53,Potential
10024,91,1,701.76,At Risk
10025,704,1,580.04,At Risk
10026,119,1,391.53,At Risk
10027,540,1,507.02,At Risk
10028,520,2,3488.75,Loyal
10029,31,4,2679.52,Potential
10030,38,2,1349.0,Potential
10031,589,1,488.01,At Risk
10032,40,4,3216.2,Loyal
10033,594,1,1183.44,Potential
10034,155,1,1153.2,Potential
10037,183,2,3577.5,Loyal
10038,318,2,452.96,At Risk
10040,164,4,3702.54,Loyal
10041,165,2,2187.79,Potential
10042,359,2,815.31,At Risk
10045,60,2,1199.92,Potential
10046,581,2,2183.43,Potential
10047,44,4,2454.25,Potential
10048,658,1,207.09,At Risk
10049,242,3,3161.99,Loyal
10051,124,2,380.61,At Risk
10052,460,3,3708.9500000000003,Loyal
10053,233,1,39.44,At Risk
10054,51,2,1444.87,Potential
10055,326,2,3149.17,Loyal
10056,112,2,584.6800000000001,At Risk
10058,887,1,388.71,At Risk
10061,528,3,4477.27,Loyal
10062,587,1,1281.87,Potential
10063,22,1,335.64,At Risk
10065,119,2,1025.6,Potential
10066,263,3,2621.55,Potential
10067,24,2,1617.76,Potential
10068,217,3,4135.25,Loyal
10069,518,4,2755.24,Potential
10071,337,1,684.33,At Risk
10072,51,1,441.39,At Risk
10073,471,2,2702.24,Potential
10074,601,1,1125.74,Potential
10075,613,3,4194.27,Loyal
10077,441,1,1937.88,Potential
10078,213,2,2695.72,Potential
10079,476,1,1025.92,Potential
10080,456,1,2198.25,Potential
10082,159,3,857.13,At Risk
10083,52,2,2600.9700000000003,Potential
10084,17,2,1846.21,Potential
10085,639,4,2892.64,Potential
10086,354,1,157.75,At Risk
10088,713,1,341.54,At Risk
10089,746,1,1474.96,Potential
10090,91,1,927.36,At Risk
10091,818,1,545.16,At Risk
10092,154,1,844.72,At Risk
10094,29,1,1100.01,Potential
10095,179,2,2277.75,Potential
10098,537,1,1136.13,Potential
10099,13,4,3038.0299999999997,Loyal
10100,39,2,490.68,At Risk
10101,8,1,65.48,At Risk
10102,425,1,317.56,At Risk
10103,325,1,366.22,At Risk
10104,13,4,2939.61,Potential
10106,44,2,1732.08,Potential
10107,560,4,4356.4800000000005,Loyal
10108,203,1,1446.34,Potential
10109,581,2,2450.3,Potential
10111,613,2,3082.96,Loyal
10112,669,1,72.32,At Risk
10114,821,1,465.87,At Risk
10117,371,1,302.62,At Risk
10118,118,2,2658.3100000000004,Potential
10119,358,1,1974.0,Potential
10120,93,4,2222.06,Potential
10121,689,2,2426.33,Potential
10122,48,2,1566.8600000000001,Potential
10123,648,1,770.4,At Risk
10125,49,4,3377.32,Loyal
10126,650,2,4431.96,Loyal
10129,505,1,104.62,At Risk
10130,585,2,4442.36,Loyal
10131,13,2,279.82,At Risk
10133,102,3,1563.2,Potential
10134,324,1,791.13,At Risk
10136,213,2,2007.15,Potential
10137,367,3,4160.320000000001,Loyal
10138,144,6,6171.04,VIP
10140,439,1,1970.04,Potential
10141,843,1,221.07,At Risk
10143,116,2,1068.71,Potential
10145,667,2,1230.79,Potential
10146,328,2,1494.8899999999999,Potential
10147,375,1,800.55,At Risk
10148,451,2,1205.22,Potential
10150,504,2,2314.93,Potential
10151,491,2,2315.7200000000003,Potential
10152,309,1,185.93,At Risk
10153,193,1,973.46,At Risk
10154,10,1,481.64,At Risk
10155,452,2,2051.12,Potential
10156,872,1,1880.2,Potential
10157,32,2,1214.3,Potential
10158,387,1,1797.21,Potential
10159,551,1,1053.62,Potential
10160,567,2,701.45,At Risk
10163,2,5,6763.459999999999,VIP
10165,571,1,448.45,At Risk
10166,193,3,1222.61,Potential
10167,725,2,3179.59,Loyal
10168,267,3,1363.92,Potential
10169,377,2,1787.44,Potential
10170,311,3,3966.5499999999997,Loyal
10172,879,1,181.28,At Risk
